PLAY [i48 t333 v127]
PLAY [[E1 F1 ]]
PLAY [[E1 F1 ]]
PLAY [[D1# E1 ]]
PLAY [[A0# B0 C1 ]]
PLAY [[D1# E1 ]]
PLAY [[D1# E1 ]]
PLAY [[D1# E1 F1 ]]
PLAY [[D1# E1 ]]
PLAY [[E1 F1 ]]
PLAY [[E1 F1 ]]
PLAY [[D1 D1# ]]
PLAY [[D1 D1# ]]
PLAY [[E1 F1 ]]
PLAY [[D1# E1 ]]
PLAY [[E1 F1 ]]
PLAY [[E1 F1 ]]
PLAY [[D1# E1 ]]
PLAY [[D1# E1 ]]
PLAY [[E1 F1 ]]
PLAY [[E1 F1 ]]
PLAY [[D1# E1 ]]
PLAY [[D1# E1 ]]
PLAY [[E1 F1 ]]
PLAY [[E1 F1 ]]
PLAY [[E1 F1 ]]
PLAY [[E1 F1 ]]
PLAY [[E1 F1 ]]
PLAY [[D1 D1# E1 F1 ]]
PLAY [[F1 F1# ]]
PLAY [[F1 F1# ]]
PLAY [[E1 F1 ]]
PLAY [[F1 F1# ]]
PLAY [[F1 F1# ]]
PLAY [[E1 F1 ]]
PLAY [[E1 F1 ]]
PLAY [[E1 F1 ]]
PLAY [[E1 F1 ]]
PLAY [[E1 F1 ]]
PLAY [[E1 F1 ]]
PLAY [[E1 F1 ]]
PLAY [[E1 F1 ]]
PLAY [[E1 F1 ]]
PLAY [[E1 F1 ]]
PLAY [[D1# E1 ]]
PLAY [[E1 F1 ]]
PLAY [[E1 F1 ]]
PLAY [[E1 F1 ]]
PLAY [[F1 F1# ]]
PLAY [[E1 F1 ]]
PLAY [[D1# E1 ]]
PLAY [[E1 F1 ]]
PLAY [[E1 F1 ]]
PLAY [[A0# B0 C1 ]]
PLAY [[E1 F1 ]]
PLAY [[E1 F1 ]]
PLAY [[F1 F1# ]]
PLAY [[E1 F1 ]]
PLAY [[E1 F1 ]]
PLAY [[E1 F1 ]]
PLAY [[A0# B0 C1 E1 F1 ]]
PLAY [[E1 F1 ]]
PLAY [[A0# B0 C1 ]]
